Someone or something that is extremely offensive or unacceptable,1,Abomination,Atomic Bomb,Adaption,Abortion
To do something to show that you remember and respect someone important or an important event in the past,4,Concentrate,Compress,Commodity,Commemorate
An expression of very strong disapproval of someone or something especially something you think is morally wrong,2,Contamination,Condemnation,Complete,Compliance
Someone who is treacherous cannot be trusted because they are not loyal and secretly intend to harm you,3,Treatment,Tolerance,Treacherous,Toilet
Someone who is zealous does or supports something with great energy,1,Zealous,Zebra,Jealous,Jesus
Likely to forget things especially because you are thinking about something else,2,Overrated,Absentminded,Intimidated,Outdated
The belief that animals or objects have the same feelings and qualities as humans,4,Anthony,Metropolitanism,HumanAdvancisism,Anthropomorphism
To punish someone by no longer allowing them to be a member of the Roman Catholic church,1,Excommunicate,Ex-husband,Extraordinally,Excellent
An unusual habit or way of behaving that someone has,3,Idiom,Idiot,Idiosyncrasy,Indonesia
The deliberate killing of a person who is very ill and going to die in order to stop them suffering,4,Asia,Dignity,Sophisticated,Euthanasia
Not leaning to one side or the other but exactly vertical,1,Perpendicular,Particular,Solar,Part-time job
A serious mental illness in which someone’s thoughts and feelings are not based on what is really happening around them,3,Syncolization,Superstition,Schizophrenia,Supermarket
The practice of doing medical or scientific tests on live animals,2,Vivian,Vivisection,Vitamin,Violence
A state similar to sleep in which someone’s thoughts and actions can be influenced by someone else,1,Hypnosis,Hypothesis,Hydrogen,High-Five
To make someone stop feeling angry,2,Placement,Placate,Principle,Pringles
Giving careful attention to what is happening so that you will notice any danger or illegal activity,4,Vinegar,Vintage,Virtue,Vigilant
Someone who publicly criticizes the government in a country where this is punished,3,Disappointment,Disagreement,Dissident,Decontamination
Someone who is versatile has many different skills,2,Vertical,Versatile,Vaccine,Victory
An object that is sturdy is strong well-made and not easily broken,1,Sturdy,Stubborn,Steady,Straight
Worried or nervous about something that you are going to do or about the future,4,Append,Apparent,Application,apprehensive
